EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	08:29:02	0	0.0100	0.01253135909052456	0.01149754598736763	0.5393	0.5393	0.5393	0.5393
2	08:29:20	0	0.0100	0.011174857321907492	0.011094754561781883	0.586	0.586	0.586	0.586
3	08:29:38	1	0.0100	0.010936222427031574	0.010945815593004227	0.5833	0.5833	0.5833	0.5833
4	08:29:55	0	0.0100	0.010812628795118892	0.010844088159501553	0.5867	0.5867	0.5867	0.5867
5	08:30:12	0	0.0100	0.010711871532832875	0.010764073580503464	0.59	0.59	0.59	0.59
6	08:30:29	0	0.0100	0.010672345210524166	0.010709869675338268	0.5953	0.5953	0.5953	0.5953
7	08:30:46	0	0.0100	0.010636886722901287	0.010663843713700771	0.604	0.604	0.604	0.604
8	08:31:04	1	0.0100	0.010562960512497846	0.010619796812534332	0.602	0.602	0.602	0.602
9	08:31:21	0	0.0100	0.010548884174403023	0.010611701756715775	0.6127	0.6127	0.6127	0.6127
10	08:31:38	1	0.0100	0.010505827714415158	0.010555021464824677	0.612	0.612	0.612	0.612
11	08:31:55	0	0.0100	0.010489398612695582	0.010583124123513699	0.618	0.618	0.618	0.618
12	08:32:12	0	0.0100	0.010428840700317831	0.010490193963050842	0.6233	0.6233	0.6233	0.6233
13	08:32:30	1	0.0100	0.010391102524364695	0.010483094491064548	0.6207	0.6207	0.6207	0.6207
14	08:32:47	0	0.0100	0.010375254006946787	0.010432829149067402	0.626	0.626	0.626	0.626
15	08:33:05	1	0.0100	0.010306658197851742	0.010397534817457199	0.6247	0.6247	0.6247	0.6247
16	08:33:22	2	0.0100	0.010284092398250804	0.010406638495624065	0.6253	0.6253	0.6253	0.6253
17	08:33:38	0	0.0100	0.010297371801208047	0.01034807600080967	0.63	0.63	0.63	0.63
18	08:33:55	0	0.0100	0.010228792071342469	0.010320308618247509	0.6313	0.6313	0.6313	0.6313
19	08:34:13	0	0.0100	0.010214742527288549	0.010296817868947983	0.64	0.64	0.64	0.64
20	08:34:30	0	0.0100	0.010179497108739966	0.010265583172440529	0.6413	0.6413	0.6413	0.6413
21	08:34:48	1	0.0100	0.010137383573195513	0.010291438549757004	0.6373	0.6373	0.6373	0.6373
22	08:35:05	0	0.0100	0.010133044719696045	0.010224188677966595	0.6413	0.6413	0.6413	0.6413
23	08:35:22	0	0.0100	0.010098109722137451	0.010190014727413654	0.644	0.644	0.644	0.644
24	08:35:39	0	0.0100	0.010065501472529242	0.010158772580325603	0.6487	0.6487	0.6487	0.6487
25	08:35:56	0	0.0100	0.010004523277282715	0.010137598030269146	0.6507	0.6507	0.6507	0.6507
26	08:36:13	1	0.0100	0.00997911853650037	0.010154918767511845	0.6453	0.6453	0.6453	0.6453
27	08:36:31	0	0.0100	0.009967831822002636	0.010085121728479862	0.6567	0.6567	0.6567	0.6567
28	08:36:48	0	0.0100	0.009977477255989523	0.010063917376101017	0.6567	0.6567	0.6567	0.6567
29	08:37:05	1	0.0100	0.009934876932817346	0.010063448920845985	0.6533	0.6533	0.6533	0.6533
30	08:37:22	0	0.0100	0.009909990450915169	0.010032457299530506	0.6627	0.6627	0.6627	0.6627
31	08:37:39	1	0.0100	0.00987828400555779	0.010030188597738743	0.6507	0.6507	0.6507	0.6507
32	08:37:56	2	0.0100	0.009848919868469239	0.009983059018850327	0.662	0.662	0.662	0.662
33	08:38:13	3	0.0100	0.009884989871698268	0.009982590563595295	0.66	0.66	0.66	0.66
34	08:38:30	0	0.0100	0.009801310083445381	0.009954135864973068	0.6647	0.6647	0.6647	0.6647
35	08:38:47	1	0.0100	0.009773709009675419	0.009962853975594044	0.658	0.658	0.658	0.658